City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Dobele,56.625,23.2786,60.24,90,84,6.85,LV,2022-07-25 23:43:15
92,Porto Novo,6.4965,2.6036,78.62,87,80,7.38,BJ,2022-07-25 23:43:15
93,Rocha,-34.4833,-54.3333,59.02,97,100,9.55,UY,2022-07-25 23:43:16
94,Sherlovaya Gora,50.5667,116.25,63.81,88,100,11.92,RU,2022-07-25 23:44:16
95,Lagoa,39.05,-27.9833,73.67,90,0,9.6,PT,2022-07-25 23:44:17
96,Katsuura,35.1333,140.3,80.33,88,96,19.26,JP,2022-07-25 23:44:17
97,Nome,64.5011,-165.4064,53.67,94,100,12.66,US,2022-07-25 23:42:55
98,Pevek,69.7008,170.3133,37.96,75,89,12.88,RU,2022-07-25 23:41:16
99,Iqaluit,63.7506,-68.5145,47.93,81,20,10.36,CA,2022-07-25 23:40:39
100,Banda Aceh,5.5577,95.3222,77.5,84,100,8.37,ID,2022-07-25 23:44:19
101,Clearwater,27.9659,-82.8001,90.1,75,75,6.91,US,2022-07-25 23:44:19
102,Lata,40.1629,-8.3327,59.47,97,0,2.57,PT,2022-07-25 23:40:51
103,Mutsu,41.2894,141.2169,76.82,77,53,2.82,JP,2022-07-25 23:44:20
104,Ulma,48.3984,9.9916,74.01,68,100,5.97,DE,2022-07-25 23:44:20
105,Mar Del Plata,-38.0023,-57.5575,55.09,95,100,17.0,AR,2022-07-25 23:44:16
106,Baykit,61.67,96.37,65.07,71,100,2.37,RU,2022-07-25 23:44:21
107,Padang,-0.9492,100.3543,73.45,91,100,2.73,ID,2022-07-25 23:44:21
108,Sobolevo,54.4299,31.8996,56.32,96,27,5.79,RU,2022-07-25 23:44:22
109,Atuona,-9.8,-139.0333,77.68,66,18,10.47,PF,2022-07-25 23:43:24
110,Buala,-8.145,159.5921,83.91,72,55,7.96,SB,2022-07-25 23:44:23
111,Namibe,-15.1961,12.1522,61.29,86,5,8.3,AO,2022-07-25 23:44:23
112,Khatanga,71.9667,102.5,71.87,41,13,5.03,RU,2022-07-25 23:40:33
113,Tuatapere,-46.1333,167.6833,45.0,94,100,13.94,NZ,2022-07-25 23:44:24
114,Clyde River,70.4692,-68.5914,41.23,93,100,6.91,CA,2022-07-25 23:44:24
115,Narsaq,60.9167,-46.05,53.82,91,100,2.3,GL,2022-07-25 23:44:25
116,Rio Cuarto,-33.1307,-64.3499,62.67,100,100,10.36,AR,2022-07-25 23:40:18
117,Samarai,-10.6167,150.6667,79.88,75,75,16.42,PG,2022-07-25 23:41:37
118,Lebu,-37.6167,-73.65,53.42,85,78,25.39,CL,2022-07-25 23:41:50
119,Port Alfred,-33.5906,26.891,52.18,82,0,1.01,ZA,2022-07-25 23:44:26
120,Liberty,31.8335,-81.5004,89.28,43,75,9.22,US,2022-07-25 23:44:26
121,Coria,39.9879,-6.5377,74.93,46,0,4.7,ES,2022-07-25 23:44:27
122,Sinnamary,5.3833,-52.95,79.0,86,91,8.37,GF,2022-07-25 23:40:38
123,Bairiki,1.3292,172.9752,86.0,66,20,13.8,KI,2022-07-25 23:42:48
124,Taoudenni,22.6783,-3.9836,100.0,11,0,10.56,ML,2022-07-25 23:44:27
125,Ilulissat,69.2167,-51.1,46.42,87,75,4.61,GL,2022-07-25 23:44:28
126,Lavrentiya,65.5833,-171.0,41.34,85,100,16.46,RU,2022-07-25 23:44:20
127,Sorland,67.667,12.6934,53.46,87,96,16.06,NO,2022-07-25 23:42:50
128,Mount Gambier,-37.8333,140.7667,51.37,60,87,14.34,AU,2022-07-25 23:44:29
129,Nyurba,63.2842,118.3319,77.97,65,18,7.58,RU,2022-07-25 23:44:30
130,Lafiagi,8.8667,5.4167,73.76,97,100,4.32,NG,2022-07-25 23:44:30
131,Thompson,55.7435,-97.8558,60.96,94,75,4.61,CA,2022-07-25 23:41:07
132,Leningradskiy,69.3833,178.4167,34.34,90,100,6.11,RU,2022-07-25 23:41:30
133,Capitao Poco,-1.7464,-47.0594,75.0,91,99,4.74,BR,2022-07-25 23:44:31
134,East London,-33.0153,27.9116,55.44,70,0,12.08,ZA,2022-07-25 23:40:58
135,Haines Junction,60.7522,-137.5108,71.55,49,99,10.36,CA,2022-07-25 23:41:24
136,Lasa,46.6166,10.7002,67.08,95,88,4.7,IT,2022-07-25 23:44:32
137,Longyearbyen,78.2186,15.6401,48.04,81,75,12.66,SJ,2022-07-25 23:42:01
138,Virginia Beach,36.8529,-75.978,91.02,67,75,13.8,US,2022-07-25 23:45:33
139,Beringovskiy,63.05,179.3167,45.95,75,100,2.17,RU,2022-07-25 23:43:39
140,Agramonte,22.6786,-81.1156,80.15,78,91,13.0,CU,2022-07-25 23:45:33
141,Geraldton,-28.7667,114.6,43.21,81,7,13.8,AU,2022-07-25 23:44:15
142,Burnie,-41.0667,145.9167,52.92,94,62,7.74,AU,2022-07-25 23:45:34
143,Tautira,-17.7333,-149.15,74.08,92,98,8.9,PF,2022-07-25 23:45:34
144,Husavik,66.0449,-17.3389,48.51,83,100,1.07,IS,2022-07-25 23:45:35
145,Ocos,14.5094,-92.1933,83.25,73,78,6.46,GT,2022-07-25 23:45:35
146,Yulara,-25.2406,130.9889,51.22,52,0,17.02,AU,2022-07-25 23:45:36
147,Male,4.1748,73.5089,80.55,89,75,12.66,MV,2022-07-25 23:45:36
148,Cabo San Lucas,22.8909,-109.9124,92.5,61,7,11.99,MX,2022-07-25 23:41:40
149,Mogadishu,2.0371,45.3438,75.54,83,30,17.65,SO,2022-07-25 23:45:37
150,Beloha,-25.1667,45.05,62.85,90,19,5.03,MG,2022-07-25 23:45:37
151,Yar-Sale,66.8333,70.8333,48.07,81,54,15.68,RU,2022-07-25 23:45:38
152,Grandview,38.8858,-94.533,72.99,87,20,14.97,US,2022-07-25 23:45:38
153,Victor Harbor,-35.5667,138.6167,55.0,68,16,13.04,AU,2022-07-25 23:45:39
154,Bambous Virieux,-20.3428,57.7575,68.25,88,40,10.36,MU,2022-07-25 23:45:22
155,Umuarama,-23.7664,-53.325,70.21,49,14,5.5,BR,2022-07-25 23:45:40
156,Kuryk,43.2,51.65,72.63,69,0,6.42,KZ,2022-07-25 23:45:40
157,Chipinge,-20.1883,32.6236,50.94,92,56,3.8,ZW,2022-07-25 23:45:40
158,Vostok,46.4856,135.8833,65.68,89,44,2.26,RU,2022-07-25 23:45:41
159,Dukat,62.55,155.55,66.38,37,51,12.57,RU,2022-07-25 23:45:41
160,Dikson,73.5069,80.5464,43.84,94,99,21.92,RU,2022-07-25 23:44:21
161,Nikolskoye,59.7035,30.7861,61.81,92,68,2.46,RU,2022-07-25 23:45:42
162,Opuwo,-18.0607,13.84,61.32,34,27,5.66,NA,2022-07-25 23:45:42
163,Am Timan,11.0297,20.2827,74.5,94,95,2.95,TD,2022-07-25 23:45:43
164,Bukachacha,52.9833,116.9167,67.95,83,58,4.61,RU,2022-07-25 23:45:43
165,Ilinskiy,55.619,38.1182,66.54,88,0,7.0,RU,2022-07-25 23:45:43
