City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
130,Srandakan,ID,-7.9386,110.2506,72.73,91,85,5.03,overcast clouds
131,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,55.53,84,100,12.77,overcast clouds
132,Itoman,JP,26.1247,127.6694,84.22,84,20,11.5,few clouds
133,Qaanaaq,GL,77.484,-69.3632,41.47,67,13,3.13,few clouds
134,Kutum,SD,14.2,24.6667,78.33,50,100,13.33,overcast clouds
135,Conde,BR,-7.2597,-34.9075,74.66,88,0,6.91,clear sky
136,Bredasdorp,ZA,-34.5322,20.0403,52.02,78,0,9.51,clear sky
137,East London,ZA,-33.0153,27.9116,70.83,53,26,18.63,scattered clouds
138,Druskininkai,LT,54.0167,23.9667,54.9,96,14,4.61,few clouds
139,Gaya,IN,24.7833,85.0,82.87,73,84,5.64,broken clouds
140,Jardim,BR,-21.4803,-56.1381,78.64,28,6,3.15,clear sky
141,Port Alfred,ZA,-33.5906,26.891,69.19,58,1,4.0,clear sky
142,Iqaluit,CA,63.7506,-68.5145,55.13,58,75,5.75,broken clouds
143,Nikolskoye,RU,59.7035,30.7861,59.81,84,98,3.53,overcast clouds
144,Puerto Leguizamo,CO,-0.1934,-74.7819,75.31,84,82,2.46,broken clouds
145,Zhangye,CN,38.9342,100.4517,70.5,33,1,7.29,clear sky
146,Te Anau,NZ,-45.4167,167.7167,42.19,88,94,3.0,overcast clouds
147,Cabedelo,BR,-6.9811,-34.8339,75.87,82,6,10.25,clear sky
148,Vilhena,BR,-12.7406,-60.1458,82.62,36,0,5.75,clear sky
149,Kondagaon,IN,19.6,81.6667,73.22,93,98,2.48,overcast clouds
150,Baoding,CN,38.8511,115.4903,74.25,87,90,1.23,overcast clouds
151,Kahului,US,20.8947,-156.47,87.82,45,20,18.41,few clouds
152,Vanimo,PG,-2.6741,141.3028,77.65,88,58,5.55,broken clouds
153,Hami,CN,42.8,93.45,86.02,12,65,9.01,broken clouds
154,Beringovskiy,RU,63.05,179.3167,49.68,77,100,9.48,overcast clouds
155,Inhambane,MZ,-23.865,35.3833,63.1,75,0,3.18,clear sky
156,Hithadhoo,MV,-0.6,73.0833,82.04,73,93,13.96,overcast clouds
157,Luanda,AO,-8.8368,13.2343,68.61,89,62,9.28,broken clouds
