City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1759,Aksehir,TR,72.28,clear sky,38.3575,31.4164,GRAND HOTEL AKŞEHİR
1760,Miandrivazo,MG,71.92,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
1765,Kuybyshevo,RU,74.34,broken clouds,47.8123,38.9073,Мини-отель Искра
1777,Inirida,CO,72.63,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
1780,Banepa,NP,70.12,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
1786,Muisne,EC,74.41,overcast clouds,0.6,-80.0333,Quinta Samay
1788,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
1809,Adeje,ES,71.22,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
1810,Taperoa,BR,71.08,scattered clouds,-7.2075,-36.8267,Hotel Casarão Antigo
1812,Hecun,CN,74.19,clear sky,36.5333,114.1111,Yijia Hotel
1813,Almaty,KZ,73.31,overcast clouds,43.25,76.95,Holiday Inn Almaty
1825,Soyo,AO,70.34,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
1834,Lazurne,UA,73.78,clear sky,46.084,32.5295,New Manna Hostel
1842,Moroni,KM,73.9,light rain,-11.7022,43.2551,Hotel Les Arcades
1858,Muncar,ID,72.37,broken clouds,-8.4333,114.3333,Zaky Homestay
1863,Mishan,CN,71.96,overcast clouds,45.55,131.8833,Mishan Hotel
